2017-03-12,BTC,ETH,DASH,XRP,XMR,LTC,ETC,XEM,MAID,REP,USDT,ZEC,ICN,FCT,WAVES,DOGE,ARC,GNT,DGD,STEEM,ARDR,DCR,GAME,SDC,XLM,LSK,BCC,BCY,PPC,BTS,BCN,KMD,NXT,EMC,STRAT,SC,XCP,SNGLS,1ST,XAUR,SJCX,GBYTE,NEO,NLG,IOC,NXS,RBY,BTCD,SYS,TIME,NMC,AGRS,YBC,POT,NXC,XZC,AMP,CRB,PIVX,SLR,BLK,VASH,EDR,VRS,NAV,LMC,ION,CLOAK,SIB,UNITY,GRC,OMNI,BBR,MONA,DGB,AEON,CLAM,GOLOS,BURST,EXP,NVC,BAY,BELA,RADS,VSL,LKK,DBIC,UBQ,FAIR,AUR,VTC,GCR,CURE,PEPECASH,PASC,NAUT,HEAT,SBD,ADZ
2017-03-19,BTC,ETH,DASH,XMR,XRP,LTC,ETC,XEM,REP,MAID,ZEC,STEEM,USDT,FCT,DGD,WAVES,GNT,ICN,DCR,DOGE,MLN,LSK,ARDR,GAME,XLM,PPC,SDC,BTS,EMC,SNGLS,STRAT,BCC,SC,PIVX,1ST,KMD,NMC,NXS,NXT,GBYTE,BCN,NEO,SJCX,BCY,XZC,XCP,XAUR,IOC,NLG,SYS,BTCD,ROUND,RBY,NVC,AMP,TIME,YBC,NXC,AGRS,EDR,POT,NAV,BLK,SLR,BBR,CRB,CLOAK,AEON,OMNI,EXP,VRS,GRC,CLAM,UNITY,ION,SIB,DGB,VASH,BAY,MONA,LMC,ZCL,PASC,BURST,RADS,DBIC,UBQ,VSL,LKK,BELA,GOLOS,NAUT,LBC,VTC,AUR,FTC,CURE,MUSE,PEPECASH
2017-03-26,BTC,ETH,DASH,XRP,XMR,ETC,LTC,XEM,REP,MAID,ZEC,DCR,USDT,STEEM,GNT,ICN,PIVX,DOGE,FCT,WAVES,DGD,LSK,ARDR,GAME,SNGLS,BCC,MLN,NXS,XLM,STRAT,1ST,BTS,NXT,PPC,EMC,SC,SDC,SJCX,KMD,VC,NEO,NLG,GBYTE,SYS,XZC,BCN,XCP,NMC,ARK,XAUR,IOC,BCY,BTCD,TIME,ROUND,AMP,RBY,AGRS,NAV,YBC,SLR,BLK,CRB,NVC,ION,BAY,POT,CRW,NXC,EDR,RADS,UBQ,DGB,CLOAK,EXP,BURST,UNITY,VASH,BBR,GRC,AEON,LMC,PEPECASH,VTC,SIB,SHIFT,MONA,OMNI,FAIR,LBC,CLAM,YOC,PASC,GCR,BELA,VSL,HEAT,VIA,NAUT
2017-04-02,BTC,ETH,XRP,DASH,LTC,XMR,ETC,XEM,REP,MAID,GNT,ZEC,DCR,USDT,ICN,PIVX,STEEM,ROUND,DGD,DOGE,WAVES,FCT,BCN,LSK,1ST,SNGLS,STRAT,BCC,ARDR,MLN,GAME,XLM,KMD,BTS,SC,PPC,EMC,NXS,NXT,SDC,SJCX,BTCD,NEO,NLG,NMC,GBYTE,SYS,XCP,BCY,XAUR,XZC,IOC,AMP,AGRS,TIME,YBC,NAV,ARK,CRB,RBY,POT,UBQ,BLK,ION,RADS,CRW,SLR,NVC,NXC,XBC,UNITY,BAY,GRC,EXP,OMNI,LBC,BBR,MUE,DGB,EDR,PEPECASH,ZCL,CLAM,NAUT,BELA,VASH,LMC,PASC,AEON,MONA,BURST,VTC,VIA,BSD,VSL,VC,CURE,ARC,CLOAK
2017-04-09,BTC,ETH,XRP,LTC,DASH,XMR,ETC,XEM,REP,MAID,ZEC,GNT,USDT,DCR,PIVX,DOGE,STRAT,ICN,FCT,WAVES,STEEM,BCC,DGD,VC,SNGLS,LSK,ROUND,XLM,1ST,GAME,BCN,BTS,ARDR,MLN,PPC,KMD,SC,EMC,NXT,CRB,XZC,NXS,SJCX,NMC,BCY,GBYTE,NLG,SDC,RBY,BTCD,NEO,XCP,SYS,XAUR,IOC,AMP,POT,ARK,NXC,AGRS,YBC,BAY,TIME,DGB,UBQ,NAV,BLK,EDG,BELA,GRC,ARC,NVC,ION,SLR,XBC,CRW,RADS,CLAM,AEON,SIB,UNITY,MUE,VASH,LBC,EXP,VSL,VIA,OMNI,MONA,GOLOS,XPM,BURST,NAUT,LMC,ZCL,YOG,BBR,PEPECASH,YOC
2017-04-16,BTC,ETH,XRP,DASH,LTC,XMR,ETC,XEM,REP,PIVX,MAID,ZEC,STRAT,SNGLS,BCC,GNT,DCR,FCT,USDT,STEEM,DOGE,WAVES,ICN,GAME,DGD,LSK,XLM,ARK,ROUND,BTS,1ST,BCN,ARDR,SC,PPC,CRB,EMC,MLN,NXT,SJCX,NXS,KMD,GBYTE,SYS,NLG,XZC,BCY,POT,NMC,XCP,XAUR,IOC,NEO,BTCD,RBY,SDC,AMP,EDG,UBQ,NXC,AGRS,MONA,BLK,LKK,TIME,NAV,DGB,GRC,EXP,YBC,LBC,RADS,ZCL,EDR,CRW,BAY,VSL,UNITY,ION,BELA,NVC,BBR,ARC,SLR,CLAM,VIA,BURST,OMNI,NAUT,XBC,VTC,MUE,AEON,SIB,NEOS,PEPECASH,CURE,BLOCK,XPM
2017-04-23,BTC,ETH,XRP,LTC,DASH,ETC,XMR,XEM,REP,MAID,GNT,PIVX,ZEC,DCR,BCC,STRAT,FCT,DOGE,STEEM,GAME,USDT,WAVES,DGD,LSK,SNGLS,ICN,ROUND,XLM,BCN,BTS,ARDR,RLC,1ST,GBYTE,NXT,PPC,SJCX,SC,EMC,ARK,MLN,KMD,LKK,NXS,SYS,XZC,NLG,XAUR,CRW,BCY,NMC,BAY,CRB,BTCD,XCP,AGRS,POSW,DGB,UBQ,NEO,BLK,POT,AMP,EDG,NAV,TIME,NXC,SKY,IOC,ARC,SWT,VSL,MONA,ION,YBC,BLOCK,TRST,EXP,RADS,RBY,INCNT,ZCL,SDC,GRC,MUE,LBC,VIA,B@,XBC,NVC,BELA,SLR,VASH,OMNI,EDR,SIB,CLAM,BURST,DAR
2017-04-30,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,REP,GNT,MAID,ZEC,PIVX,DOGE,DCR,STRAT,FCT,STEEM,WAVES,USDT,LSK,DGD,GAME,ROUND,BCC,SNGLS,ARDR,XLM,ICN,BTS,RLC,GBYTE,BCN,1ST,NXT,SC,PPC,SYS,EMC,MLN,SJCX,KMD,ARK,LKK,NMC,TRST,NEO,NXS,XZC,XAUR,NLG,NAV,CRB,BCY,YBC,XCP,CRW,BTCD,AGRS,BLK,AMP,POT,BAY,UBQ,RBY,SWT,DGB,WINGS,EDG,BLOCK,NXC,EXP,TIME,NVC,VSL,IOC,ZCL,MONA,ION,SKY,MUE,GRC,LBC,B@,XPM,POSW,RADS,BURST,EDR,BELA,XBC,VASH,WCT,CLAM,VIA,VTC,SLR,UNITY,GCR
2017-05-07,BTC,ETH,XRP,LTC,DASH,XEM,ETC,XMR,GNT,XLM,REP,MAID,DOGE,ZEC,GNO,STRAT,STEEM,FCT,DCR,BTS,PIVX,BCN,WAVES,SNGLS,DGD,LSK,ARDR,SC,GAME,USDT,ROUND,PPC,BCC,RLC,ICN,NXT,GBYTE,1ST,SYS,NMC,EMC,KMD,SJCX,NEO,WINGS,ARK,MLN,NXS,LKK,TRST,XCP,XAUR,YBC,NAV,BTCD,BCY,NLG,DGB,BLK,GUP,XZC,AGRS,SWT,POT,UBQ,ZCL,AMP,RBY,CRB,BAY,TIME,CRW,B@,VTC,EDG,NVC,IOC,CLAM,NXC,SKY,GCR,EXP,VSL,LUN,ARC,VASH,GRC,ION,XAS,BURST,LBC,XPM,RADS,MONA,MUE,OMNI,WCT,BLOCK,EAC
2017-05-14,BTC,XRP,ETH,LTC,XEM,DASH,ETC,XMR,XLM,ROUND,REP,STEEM,GNT,MAID,DOGE,WAVES,ZEC,STRAT,GNO,BTS,DGD,ARDR,DCR,SNGLS,BCN,FCT,GAME,PIVX,ICN,LSK,SC,USDT,BCC,NXT,GBYTE,PPC,EMC,MOON,RLC,1ST,SYS,BCAP,NMC,KMD,SJCX,LKK,NEO,MLN,TKN,BURST,ARK,NXS,XAUR,XCP,BTCD,WINGS,AMP,NLG,NAV,TRST,EXP,TIME,DGB,POT,BAY,YBC,BLK,ZCL,GRC,XZC,UBQ,SWT,EDG,EAC,IOC,AGRS,CRB,GUP,VSL,RADS,LBC,FLO,CRW,BCY,CLAM,RBY,NXC,GCR,VTC,B@,TAAS,NVC,VASH,MONA,SLR,SKY,VIA,WCT,BLOCK
